category,latitude,longitude,name,rating,review_count
himalayan,34.046956,-118.4905744,Cafe Vida - Pacific Palisades,4.5,24
breakfast_brunch,34.047117,-118.5261379,Chinois On Main,4.5,613
asianfusion,34.00089,-118.48207,Bruno's,4,497
italian,34.0101314,-118.4936043,Pier Burger,4,427
seafood,34.00920052,-118.4973219,Local Kitchen & Wine Bar,4,536
wine_bars,34.01281,-118.46563,Cada Vez,4,266
tapasmallplates,34.01679,-118.49689,Cafe Vida - Culver City,4,8
breakfast_brunch,34.021791,-118.396617,Tocaya - Santa Monica,4,1275
mexican,34.02039,-118.49731,Felix Trattoria,4,413
italian,33.99221054,-118.4718984,Mom & Bop,4,767
korean,34.0179802,-118.4725658,Rutt's Hawaiian Cafe,4.5,73
hawaiian,34.00442569,-118.4216071,Mendocino Farms,4,1650
salad,34.02119448,-118.4960686,Kanpai Santa Monica,4.5,440
sushi,34.03289617,-118.4810613,Satdha Plant Based Thai Kitchen,4,85
thai,34.009819,-118.480177,RockSugar Southeast Asian Kitchen,4.5,732
indonesian,34.0595544,-118.4201091,Kato,4,2453
japanese,34.04171034,-118.4611297,Obicà Mozzarella Bar Pizza e Cucina,4.5,267
italian,34.01665,-118.49121,Stella Barra Pizzeria,4.5,391
pizza,34.006628,-118.488729,Estate Restaurant + Bar,4,967
asianfusion,34.02819,-118.48757,California Chicken Cafe,4,453
catering,34.0342315,-118.4798717,Shoop's European Market & Cafe,4,615
delis,34.00391,-118.48581,New York Bagel & Deli,4.5,465
coffee,34.0330642,-118.4808767,Bowl Kitchen,4,407
vietnamese,34.01048,-118.48031,Mastro's Ocean Club,4,329
seafood,34.03968702,-118.5761328,Bubba Gump Shrimp Co.,4,1334
seafood,34.00972536,-118.4971619,Blu Jam Café,3,1434
breakfast_brunch,34.04169,-118.46988,Priscio,4,656
italian,34.02661,-118.47891,Dudley Market,4.5,115
wine_bars,33.99422,-118.479584,Marugame Udon,4.5,83
japanese,34.04002,-118.44326,Kafe K,4,1240
coffee,34.00562,-118.48686,Luna Grill - Santa Monica,4.5,240
greek,34.03951,-118.47371,Emilia,4,109
italian,34.07117,-118.37702,The Rose Venice,5,51
cafes,33.99614,-118.47704,Margot,3.5,1702
spanish,34.0275251,-118.3869177,Lares Restaurant,4,359
mexican,34.025019,-118.459366,CAMP,4,1124
vietnamese,33.99951612,-118.4641622,Sunnin Lebanese Cuisine,4.5,498
mediterranean,34.01788778,-118.4936495,Noma,4,290
sushi,34.0320629,-118.4825751,Chinchikurin,4,541
japanese,34.03886,-118.44226,Samosa House Santa Monica,4.5,490
indpak,34.00494,-118.48625,DK's Donuts & Bakery,4,274
donuts,34.0258421,-118.4832902,Yogiyo Korean BBQ,4,2056
korean,34.01737727,-118.4938209,Sichuan Impression,4,169
chinese,34.04828,-118.44338,Chomp Eatery & Juice Station,4,293
juicebars,34.025764,-118.483325,The OP Cafe,4,550
breakfast_brunch,34.02098083,-118.4525452,Pono Burger - Santa Monica,4,788
burgers,34.01892,-118.4894,Beachside Restaurant and Bar,4,1111
newamerican,33.983034,-118.457684,Astro Doughnuts & Fried Chicken,4,806
chickenshop,34.0047068,-118.4862591,Big Jo's,3.5,58
burgers,34.02732265,-118.4786782,El Huarique,4,363
peruvian,33.988507,-118.474756,Sushi King,4.5,435
sushi,34.026415,-118.488818,The Pier House,4,579
bars,33.9792645,-118.4668045,Nico's Tacos,4,48
tacos,34.0126989,-118.4831862,Kye's,4.5,81
gluten_free,34.03323,-118.49346,Il Forno Trattoria,4.5,351
italian,34.01997201,-118.4548325,The Anchor,4,432
newamerican,33.9970197,-118.4789505,J Nichols Kitchen,4,873
newamerican,33.98554692,-118.4381747,Red O Restaurants,4,977
mexican,34.0120361,-118.4954472,Esters Wine Shop & Bar,4,482
wine_bars,34.019406,-118.493637,4Fingers Crispy Chicken,4,219
chickenshop,34.037965,-118.44031,Blossom A Vietnamese Noodles Shop,3.5,49
vietnamese,34.019378,-118.4553622,Gjelina,4,124
newamerican,33.9905576,-118.4650685,Beaming Organic Superfood Café,3.5,4615
juicebars,34.03256,-118.49429,West 4th & Jane,4.5,172
gastropubs,34.01555579,-118.4942498,Espresso Cielo,4,462
coffee,34.0143965,-118.4960363,Blue Plate Taco,4,174
tacos,34.01252,-118.49561,Hungry Pocket Falafel House,3.5,1147
mideastern,34.0180648,-118.4724208,Lunetta Dining Room & Bar,4.5,868
newamerican,34.02226461,-118.4641319,Wurstküche,4,76
hotdog,33.999758,-118.464958,Mogumogu,4,1512
ramen,34.03598,-118.44543,The Wallace,4.5,177
newamerican,34.0246651,-118.394661,Patrick's Roadhouse,4,1248
newamerican,34.0281,-118.5179,Bardonna,3.5,587
breakfast_brunch,34.03408,-118.49328,Trattoria Amici,3.5,243
restaurants,34.04778,-118.49166,The Arsenal,4.5,7
lounges,34.0295863,-118.4495683,Emporium Thai,4,749
gluten_free,34.05734883,-118.4431159,The Place To Be,4,1976
coffee,34.00302,-118.48492,JAPADOG California,5,76
japanese,34.00914757,-118.4977171,Tender Greens,4,268
newamerican,34.0164221,-118.4985978,Caffe' Delfini,4,1059
italian,34.0290152,-118.518429,Jon & Vinny's Brentwood,4,132
italian,34.0522102,-118.4715602,Tiato,3.5,269
asianfusion,34.0314025,-118.4697103,The Bazaar by José Andrés,3.5,347
spanish,34.0699736,-118.376559,Tripp Burgers,4,3784
burgers,34.020397,-118.422313,South End,4.5,13
wine_bars,33.988112,-118.453071,Doma Kitchen,4.5,802
russian,33.986024,-118.439841,Neighbor,4.5,385
cocktailbars,33.99224,-118.47148,Gjusta,4,335
bakeries,33.99521,-118.47437,Marmalade Cafe,4,1419
breakfast_brunch,34.02686733,-118.501362,C & O Cucina,3.5,332
italian,33.98938,-118.45061,TUMBI Craft Indian Kitchen,4,1752
indpak,34.0142861,-118.498031,Margo's,4,212
newamerican,34.0333908,-118.4934795,Nanban-Kan Restaurant,3.5,273
japanese,34.0460491,-118.4494206,El Primo Tacos,4,741
streetvendors,33.998511,-118.462557,Cafe Gratitude - Venice,5,212
vegan,33.99821679,-118.473768,Pranaful,4,1365
vegetarian,34.0216484,-118.5045395,Black Sheep Burgers,5,6
burgers,34.0394,-118.44317,Colorado Kitchen,5,206
tradamerican,34.029848,-118.472823,n/naka,4,12
japanese,34.02507,-118.41227,sweetgreen,4.5,693
vegetarian,34.01697555,-118.4955177,Ima,4,368
japanese,34.0690784,-118.40684,Chez Jay,5,3
steak,34.01046,-118.49318,Rita's Gate of India,3.5,441
indpak,34.0159115,-118.4929293,Scopa Italian Roots,4,469
italian,33.98834,-118.451448,Wallflower,4,1052
indonesian,33.99948,-118.47197,Hokkaido Ramen Santouka,4,226
ramen,34.0049599,-118.43359,The Great American Fries,4.5,2210
foodtrucks,34.011354,-118.4948308,Locanda Positano,4.5,52
italian,33.98878,-118.44663,Matambre Tacos,4,561
tacos,34.04471561,-118.4537407,Burgers N Brews,5,2
burgers,34.00344209,-118.471241,Bottlefish,4,329
bars,34.0540004,-118.4647585,Sushi Miyagi,4.5,246
sushi,34.06459767,-118.4689642,Ivy At The Shore,5,12
newamerican,34.0120433,-118.4954571,Ye Olde King’s Head,3,629
pubs,34.014,-118.497254,The Tasting Kitchen,3.5,1338
bars,33.98975,-118.46306,"UCLA Medical Center, Santa Monica Cafeteria",3.5,1551
cafeteria,34.027401,-118.4861374,Destroyer,5,4
newamerican,34.02452,-118.38107,Mama Hong's Vietnamese Kitchen,4.5,367
vietnamese,34.0481,-118.46312,Golden Bull Restaurant,4,880
steak,34.02916,-118.51793,Robata Bar,4,155
japanese,34.01411,-118.49746,Eataly - Los Angeles,4,240
gourmet,34.059609,-118.419437,Gilbert's El Indio Restaurant,3.5,1940
mexican,34.0229625,-118.4626961,Terrazza,4,885
italian,34.0064162,-118.4912409,Little Fatty,3.5,83
newamerican,34.0044481,-118.4311095,Izzy's Deli,4,536
delis,34.02761841,-118.4882813,Lula Cocina Mexicana,3,692
mexican,34.00039,-118.48221,Jaffa Palms,3,647
mideastern,34.0208867,-118.4027079,Jinky's Cafe Santa Monica,4.5,73
breakfast_brunch,34.01396186,-118.4958238,BERLINS,3.5,770
german,33.98778811,-118.4743991,Bandera,4.5,132
newamerican,34.048937,-118.460995,The Cheesecake Factory,4,1088
desserts,34.01410499,-118.4944839,Izakaya Sasaya,2.5,925
izakaya,34.044669,-118.454539,PoKing Poke,4,472
seafood,34.004833,-118.486235,Superba Food + Bread,4.5,143
newamerican,33.99627524,-118.4565556,Sweet Lady Jane,4,813
bakeries,34.0344798,-118.4926624,1 Pico,3.5,668
