category,is_closed,latitude,longitude,name,rating,review_count
korean,,34.0981349,-118.3274954,Charlie's Fish & Chips,4,114
coffee,,34.071382,-118.343837,Crawford's,4,116
coffee,,34.071382,-118.343837,Crepes De Paris,4,116
korean,,34.06401,-118.36707,Men Oh Tokushima Ramen,4,126
southern,,34.024758,-118.284446,Rasselbock L.A. Kitchen & Beer Garden,4,133
asianfusion,,34.0501099,-118.25794,The Edmon,4,147
asianfusion,,34.0501099,-118.25794,The Empanada Factory,4,147
asianfusion,,34.0501099,-118.25794,The Exchange Restaurant,4,149
asianfusion,,34.0501099,-118.25794,The Factory Kitchen,4,149
seafood,,34.0762031,-118.3779835,Genwa Korean BBQ,4,151
korean,,34.0478722,-118.3257373,Pace,4,154
korean,,34.0478722,-118.3257373,Pailin Thai Cuisine,4,154
mexican,,34.02362,-118.26508,Clementine,4,161
mexican,,34.02362,-118.26508,Cleo Hollywood,4,161
gluten_free,,34.05293432,-118.2571827,BESTIES Vegan Paradise,4,162
newamerican,,34.0888,-118.3769,Coffee Attic,4,162
french,,34.08375379,-118.3240469,Twozone Chicken - 8th,4,162
newamerican,,34.0888,-118.3769,Coffee For Breakfast,4,163
french,,34.08375379,-118.3240469,Tsurumaru Udon Honpo,4,163
bakeries,,34.10151,-118.30238,Matjip Chigae,4,169
italian,,34.08347702,-118.3664856,77 Kentucky,4,169
chicken_wings,,34.0628631,-118.3062672,The Apple Pan,4,172
chicken_wings,,34.0628631,-118.3062672,The Backhouse,4,172
cajun,,34.0109188,-118.3366526,Elf Café,4,173
cajun,,34.0109188,-118.3366526,Electric Owl,4,174
tradamerican,,34.073855,-118.239959,Joan's on Third,4,175
tradamerican,,34.073855,-118.239959,Joe's Falafel,4,175
mediterranean,,34.0249037,-118.2845961,Ghost Pizza Kitchen,4,176
mediterranean,,34.0249037,-118.2845961,Ginza Ramen,4,177
mediterranean,,34.0249037,-118.2845961,Gizmo's Cereal Bar,4,177
cocktailbars,,34.08052,-118.26991,Marugame Udon,4,184
cocktailbars,,34.08052,-118.26991,Masa of Echo Park,4,184
mexican,,34.083399,-118.313686,BCD Tofu House,4,189
breakfast_brunch,,34.062127,-118.311328,Ktown Pho,4,193
breakfast_brunch,,34.062127,-118.311328,Kues Restaurant,4,194
breakfast_brunch,,34.062127,-118.311328,Kura Revolving Sushi Bar,4,196
korean,,34.06273,-118.30946,Somni,4,197
chinese,,34.06603994,-118.2376204,Mel's Fish Shack,4,213
indpak,,34.07878,-118.36113,Bon Shabu,4,214
korean,,34.0622771,-118.2975168,Daebokjung,4,223
korean,,34.0622771,-118.2975168,DaeBuDo,4,223
indpak,,34.04013967,-118.3085835,Ricky's Fish Tacos,4,223
japanese,,34.04511261,-118.3088303,Casa Noodle Teriyaki,4,230
mexican,,34.07869,-118.21471,La Cevicheria,4,233
mexican,,34.07869,-118.21471,LA Chankla,4,233
soulfood,,34.03278,-118.35994,Azay,4,234
soulfood,,34.03278,-118.35994,Azla,4,235
cocktailbars,,34.09100091,-118.3631456,Ocha Classic Restaurant,4,235
chinese,,34.05828,-118.36252,Marino Restaurant,4,236
chinese,,34.05828,-118.36252,Mario's Peruvian & Seafood,4,236
caribbean,,33.9880618,-118.3592158,Wax Paper,4,242
breweries,,34.055713,-118.23663,Sanamluang Cafe,4,243
caribbean,,33.9880618,-118.3592158,Western Doma Noodles,4,243
breweries,,34.055713,-118.23663,Santuari Restaurant,4,244
newamerican,,34.08847,-118.26875,Delphine,4,245
breweries,,34.055713,-118.23663,Sapp Coffee Shop,4,245
streetvendors,,34.07145,-118.27267,JOEY DTLA,4,252
streetvendors,,34.07145,-118.27267,Jokbal 1030,4,252
newamerican,,34.1040989,-118.291367,Beverly Soon Tofu Restaurant,4,257
french,,34.07214,-118.34368,Faith & Flower,4,257
newamerican,,34.1040989,-118.291367,BIBIBOP Asian Grill,4,258
french,,34.07214,-118.34368,Falafel-Arax,4,259
cocktailbars,,34.04676,-118.25099,Hakata Ikkousha,4,259
cocktailbars,,34.04676,-118.25099,Halmoni Grandmas Dukbokki,4,259
mideastern,,34.07182,-118.36556,Simply Pho You,4,260
mideastern,,34.07182,-118.36556,Simply Wholesome,4,261
korean,,34.06696,-118.29206,MESSHALL,4,262
caribbean,,34.04815,-118.34752,Dulan's On Crenshaw,4,263
caribbean,,34.04815,-118.34752,Dumpling House,4,263
indpak,,34.091245,-118.3288067,Seongbukdong,4,264
foodtrucks,,34.09866714,-118.3098907,Vernetti,4,272
foodtrucks,,34.09866714,-118.3098907,Versailles Cuban Food,4,273
foodtrucks,,34.09866714,-118.3098907,VOWburger,4,273
grocery,,34.052237,-118.308515,The Crack Shack,4,276
grocery,,34.052237,-118.308515,The Dog Cafe,4,276
pizza,,34.07727,-118.26389,Homegirl Cafe,4,280
