,category,is_closed,latitude,longitude,name,rating,review_count
847,chinese,False,34.0725530931457,-118.292156606913,Sea Dragon Chinese Restaurant,4.0,384
848,falafel,False,34.040957500000005,-118.257195,Dune Downtown,4.5,130
849,korean,False,34.0497265,-118.30918490000002,Meat Love Korean BBQ,4.0,392
850,beerbar,False,34.0583838,-118.3088809,Southland Beer,4.5,180
851,vietnamese,False,34.06323,-118.29702,Pho 24,4.0,640
852,sushi,False,34.03962,-118.4302,The Backhouse,4.0,846
853,ramen,False,34.05908,-118.34485,La Brea Ramen Bar,4.0,408
854,mexican,False,34.039080275774396,-118.240427716488,Yxta Cocina Mexicana,4.0,1068
855,asianfusion,False,34.0600353,-118.2388394,Ord & Broadway,4.5,198
856,korean,False,34.0521579914556,-118.2921982,Jang Choong Dong JokBal,4.5,34
857,coffee,False,34.11055,-118.28726,Cafe Los Feliz,4.0,848
858,steak,False,34.052719,-118.252817,Nick + Stef's Steakhouse,4.0,595
859,vietnamese,False,34.05727289327689,-118.307640589179,Thank U Pho,4.0,631
860,italian,False,34.0257771,-118.2841401,Il Giardino,4.5,45
861,tradamerican,False,34.06081,-118.26734,Gus's Drive In,3.5,401
862,thai,False,34.0450459,-118.2769246,Flavors of Thai,4.0,608
863,korean,False,34.047626,-118.320469,Nam Won Gol,4.5,49
864,korean,False,34.06401,-118.36707,Genki Grill,4.0,126
865,mexican,False,34.0426283329725,-118.25329475104799,Casa La Doña,4.5,619
866,gastropubs,False,34.0748525742151,-118.308902978897,Biergarten,4.0,779
867,newamerican,False,34.09053,-118.29057,Baroo,4.0,24
868,desserts,False,34.0636367372311,-118.232733607292,Mae Ting's Coconut Cakes,4.5,92
869,newamerican,False,34.083902,-118.295245,The Faculty,4.0,265
870,bbq,False,34.05381,-118.29196,Park's BBQ,4.0,1649
871,vietnamese,False,34.06012,-118.29128,Simply Pho You,4.0,829
872,pubs,False,34.148148,-118.430145,The Woodman,4.0,974
873,burgers,False,33.9537021005473,-118.39677178902399,In-N-Out Burger,4.0,1483
874,mexican,False,34.1014551,-118.3314412,Calle Tacos,4.0,769
875,steak,False,34.0522793152641,-118.255719402447,LA Prime,4.0,902
876,korean,False,34.03458,-118.25762,Halmoni Grandmas Dukbokki,4.5,57
877,cafeteria,False,34.05135,-118.24405,Tray DTLA,4.5,29
878,himalayan,False,34.016931,-118.41051000000002,Tara's Himalayan Cuisine,4.0,1079
879,sushi,False,34.04853129999999,-118.2402898,Hama Sushi,4.0,1501
880,japanese,False,34.047270000000005,-118.23463999999998,Bao Hiroo,4.5,58
881,poke,False,34.0685266292215,-118.343602716923,Poke Me,4.5,221
882,halal,False,34.0614166189248,-118.298914676639,The Halal Guys,3.0,969
883,pizza,False,34.08292,-118.27289,Wood,4.0,637
884,chinese,False,34.0448828174397,-118.258630984848,Uncle John’s Cafe,4.0,702
885,streetvendors,False,34.07145,-118.27267,Dollar Hits,4.0,252
886,korean,False,34.0524382673451,-118.31089365713899,Mapo Galbi,4.0,300
887,korean,False,34.0640971043136,-118.29719656931101,Toe Bang Cafe,4.0,827
888,vegan,False,34.138579198962105,-118.366539,SunCafe Organic,4.5,2295
889,newamerican,False,34.055025796430805,-118.38336369965,Founders Ale House,4.5,212
890,desserts,False,34.044895253666894,-118.23864522389401,Little Tokyo Taiyaki,4.5,92
891,pizza,False,34.034836,-118.231605,Pizzanista!,4.0,1093
892,sandwiches,False,34.052725,-118.250758,Mendocino Farms,4.5,581
893,russian,False,34.0999077,-118.3448671,Robert's Russian Cuisine,4.5,220
894,french,False,34.072140000000005,-118.34368,Cafe Midi,4.0,257
895,caribbean,False,34.04815,-118.34752,Brownstone LA,4.0,263
896,sushi,False,34.06068,-118.30621,Izakaya Mi Young,4.5,44
897,sushi,False,34.0697186,-118.3078831,Sushi Ye,4.5,264
898,chinese,False,34.09746,-118.36513,Wokcano Asian Restaurant & Bar,4.0,453
899,seafood,False,34.1014218099367,-118.325985868123,Delphine,3.5,834
900,newamerican,False,34.082573407069304,-118.374798180805,Taste on Melrose,4.0,2546
901,breakfast_brunch,False,34.151896,-118.352076,Hungry Crowd,4.5,382
902,sushi,False,34.0761849,-118.372906,Matsumoto,4.5,101
903,grocery,False,34.03955,-118.32226,Natraliart Jamaican Restaurant & Market,4.5,155
904,vegan,False,34.0912104093655,-118.279427202132,Flore Vegan Cuisine,4.0,1159
905,pizza,False,34.07727,-118.26389,Cosa Buona,4.0,280
906,mediterranean,False,34.091215000000005,-118.3047549,Paros Chicken,4.0,145
907,mexican,False,34.0287002,-118.4114403,Madre Oaxacan Restaurant and Mezcaleria,4.0,766
908,japanese,False,33.98642,-118.27357,Casa Noodle Teriyaki,4.5,118
909,italian,False,34.1018622167479,-118.31249355110201,I Panini di Ambra,4.5,356
910,indpak,False,34.091245,-118.32880667,Indimex Eats,4.0,264
911,korean,False,34.06204,-118.3133,Boolieya,4.5,37
912,mexican,False,34.099443,-118.3290012,Trejo's Cantina - Hollywood,3.5,525
913,chinese,False,34.07817,-118.25676,Combo A,4.5,227
914,newamerican,False,34.07172,-118.36485,Bacari W 3rd,4.5,253
915,chicken_wings,False,34.05239,-118.3049,Wings N Stuff,4.5,44
916,italian,False,34.043136596679695,-118.43065643310499,Pastina,4.0,250
917,italian,False,34.11092,-118.28721000000002,Little Dom's,3.5,1530
918,lounges,False,34.0501911926812,-118.25697010649401,"The Rooftop at The Standard, Downtown LA",3.5,1545
919,indpak,False,34.0621767,-118.3481449,India's Tandoori,4.0,1254
920,lounges,False,34.12519,-118.26466,The Griffin,3.5,977
921,sandwiches,False,34.0759416790591,-118.25410000852301,Trencher,4.0,317
922,italian,False,34.083621,-118.331184,Marino Restaurant,4.5,350
923,seafood,False,34.051759999999994,-118.36958,Penguin Fish & Chips,4.0,155
924,korean,False,34.055229,-118.308577,Pao Jao Dumpling House,4.0,118
925,chinese,False,34.05828,-118.36252,Fortune House Chinese Cuisine,4.0,236
926,seafood,False,33.9617584,-118.4207342,Sustainabowl,5.0,272
927,seafood,False,34.0509763035137,-118.24922138413099,The Oyster Gourmet,4.0,233
928,teppanyaki,False,34.07791683,-118.26352267,Yami Yaki,4.5,72
929,italian,False,34.08323,-118.34724,Frankie's,4.0,412
930,gastropubs,False,34.10532,-118.27257,Hyperion Public,4.0,847
931,noodles,False,34.0255178,-118.2775239,Northern Cafe,3.5,205
932,bakeries,False,34.1677,-118.34655,Porto's Bakery & Cafe,4.5,9003
933,mexican,False,34.09105,-118.30819,El Comal,4.5,44
934,mexican,False,34.0301138864681,-118.40274559231301,Señorita's Tamales,4.5,34
935,mexican,False,34.053236854724105,-118.257029056549,Border Grill Downtown LA,4.0,1051
936,italian,False,34.0484549,-118.2479646,Orsa & Winston,4.0,441
937,korean,False,34.05245,-118.3071,Miari Noodle House,4.0,118
