,Unnamed: 0,category,is_closed,latitude,longitude,name,rating,review_count,district
1196,1196,newamerican,False,34.0448754975184,-118.232614428836,ediBOL,4.5,552,los angeles
1197,1197,ramen,False,34.0641366545821,-118.309460922754,Tengoku Ramen Bar,4.5,517,west hollywood
1198,1198,mideastern,False,34.14659,-118.25335,Raffi's Place,4.5,4283,glendale
1199,1199,ramen,False,34.04867,-118.25753,JINYA Ramen Bar,4.0,326,los angeles
1200,1200,mexican,False,34.04675,-118.28246999999999,King Taco,3.5,1004,los angeles
1201,1201,sushi,False,34.0761600290924,-118.305407725275,Noshi Sushi,4.0,1342,west hollywood
1202,1202,breakfast_brunch,False,34.151896,-118.352076,Hungry Crowd,4.5,381,burbank
1203,1203,salad,False,33.999359999999996,-118.41891000000001,Green Apple Cafe,5.0,4,culver city
1204,1204,restaurants,False,34.03396,-118.22965,Bon Temps,4.5,58,los angeles
1205,1205,newamerican,False,34.076269,-118.38358799999999,The Henry,4.0,648,beverly hills
1206,1206,breakfast_brunch,False,34.02876,-118.27516999999999,Jacks N Joe,4.0,2010,los angeles
1207,1207,chicken_wings,False,34.0905951,-118.32558610000001,Jesse Boy,4.5,325,west hollywood
1208,1208,korean,False,34.062795820030395,-118.297739280426,Hong Kong Ban Jum 0410 / Paik's Noodle,4.5,460,los angeles
1209,1209,french,False,34.084159,-118.338194,Petit Trois,4.0,808,west hollywood
1210,1210,korean,False,34.056163,-118.309877,Buil Samgye Tang,4.5,416,west hollywood
1211,1211,cocktailbars,False,34.0479912921288,-118.258466860049,District,4.0,493,los angeles
1212,1212,newamerican,False,34.08251,-118.32332,Lemonade,4.0,549,west hollywood
1213,1213,korean,False,34.0638387855043,-118.29682785417299,Jokbal 1030,4.5,107,los angeles
1214,1214,sushi,False,33.957713033813,-118.395974141022,Kanpai Japanese Sushi Bar & Grill 2,4.0,617,el segundo
1215,1215,mexican,False,34.105959999999996,-118.27281,Mi Corazon,4.0,195,glendale
1216,1216,sandwiches,False,34.083594899999994,-118.34200609999999,Banh Oui,5.0,4,west hollywood
1217,1217,newamerican,False,34.10722,-118.26418000000001,Small Town,4.0,54,glendale
1218,1218,mexican,False,34.0938088,-118.3268092,La Numero Uno,4.5,414,west hollywood
1219,1219,italian,False,34.06642,-118.37659,The Stinking Rose,4.0,4233,beverly hills
1220,1220,bars,False,34.0615438794415,-118.30814156681299,Terra Cotta,3.5,410,west hollywood
1221,1221,diners,False,34.046219,-118.24899199999999,Nickel Diner,4.0,2392,los angeles
1222,1222,breakfast_brunch,False,34.062127000000004,-118.311328,Egg Tuck,4.0,194,west hollywood
1223,1223,chinese,False,34.0448828174397,-118.258630984848,Uncle John’s Cafe,4.0,704,los angeles
1224,1224,soulfood,False,34.032779999999995,-118.35994,Alta West Adams,4.0,235,culver city
1225,1225,korean,False,34.0575551,-118.3061617,Plato,4.0,420,west hollywood
1226,1226,breakfast_brunch,False,34.0633975,-118.3759994,Prospect Gourmand,4.5,726,beverly hills
1227,1227,bakeries,False,34.1677,-118.34655,Porto's Bakery & Cafe,4.5,9011,burbank
1228,1228,tradamerican,False,34.0464117322053,-118.262845804944,Original Pantry Cafe,3.5,2926,los angeles
1229,1229,foodtrucks,False,34.0090951,-118.2566828,Super Tortas DF,4.5,150,huntington park
1230,1230,sushi,False,34.061407,-118.309408,Sushi Ippo,4.0,1307,west hollywood
1231,1231,burgers,False,33.9537021005473,-118.39677178902399,In-N-Out Burger,4.0,1484,el segundo
1232,1232,newamerican,False,34.0996099751367,-118.331350050867,Mama Shelter Rooftop Bar,3.5,385,west hollywood
1233,1233,tapasmallplates,False,34.1452280992166,-118.369494542328,The Front Yard,4.0,1962,west hollywood
1234,1234,vietnamese,False,34.1045859,-118.330197,It's Pho hollywood,4.0,841,west hollywood
1235,1235,ramen,False,34.07755,-118.37695,Kai Ramen,4.5,177,west hollywood
1236,1236,mexican,False,34.056529,-118.34488200000001,Trejos Tacos - La Brea,3.5,1596,west hollywood
